,Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
0,Marc-Andre Fleury,MIN,G,39,1984-11-28,Sorel,QC,CAN,CAN,74,185,2003,PIT,1,1,1
1,Jonathan Quick,NYR,G,38,1986-01-21,Milford,CT,USA,USA,73,220,2005,L.A,3,11,72
2,James Reimer,DET,G,35,1988-03-15,Morweena,MB,CAN,CAN,75,205,2006,TOR,4,6,99
3,Semyon Varlamov,NYI,G,35,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
4,Jacob Markstrom,CGY,G,34,1990-01-31,Gävle,,SWE,SWE,78,207,2008,FLA,2,1,31
5,Jake Allen,MTL,G,33,1990-08-07,Fredericton,NB,CAN,CAN,74,195,2008,STL,2,4,34
6,Michael Hutchinson,DET,G,33,1990-03-02,Barrie,ON,CAN,CAN,75,201,2008,BOS,3,16,77
7,Martin Jones,TOR,G,34,1990-01-10,North Vancouver,BC,CAN,CAN,76,203,-,-,-,-,-
8,Darcy Kuemper,WSH,G,33,1990-05-05,Saskatoon,SK,CAN,CAN,77,215,2009,MIN,6,10,161
9,Cam Talbot,L.A,G,36,1987-07-05,Caledonia,ON,CAN,CAN,76,201,-,-,-,-,-
10,Sergei Bobrovsky,FLA,G,35,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
11,Calvin Pickard,EDM,G,31,1992-04-15,Moncton,NB,CAN,CAN,73,210,2010,COL,2,19,49
12,Jack Campbell,EDM,G,32,1992-01-09,Port Huron,MI,USA,USA,75,207,2010,DAL,1,11,11
13,Scott Wedgewood,DAL,G,31,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84
14,Philipp Grubauer,SEA,G,32,1991-11-25,Rosenheim,,DEU,DEU,73,188,2010,WSH,4,22,112
15,Louis Domingue,NYR,G,31,1992-03-06,St-Hyacinthe,QC,CAN,CAN,75,208,2010,PHX,5,18,138
16,Petr Mrazek,CHI,G,32,1992-02-14,Ostrava,,CZE,CZE,74,188,2010,DET,5,21,141
17,Frederik Andersen,CAR,G,34,1989-10-02,Herning,,DNK,DNK,76,238,2012,ANA,3,26,87
18,Laurent Brossoit,WPG,G,30,1993-03-23,Port Alberni,BC,CAN,CAN,75,215,2011,CGY,6,13,164
19,Anton Forsberg,OTT,G,31,1992-11-27,Härnösand,,SWE,SWE,75,193,2011,CBJ,7,7,188
20,Jordan Binnington,STL,G,30,1993-07-11,Richmond Hill,ON,CAN,CAN,74,172,2011,STL,3,27,88
21,Magnus Hellberg,PIT,G,32,1991-04-04,Uppsala,,SWE,SWE,78,220,2011,NSH,2,8,38
22,John Gibson,ANA,G,30,1993-07-14,Pittsburgh,PA,USA,USA,74,210,2011,ANA,2,9,39
23,Andrei Vasilevskiy,T.B,G,29,1994-07-25,Tyumen,,RUS,RUS,76,220,2012,T.B,1,19,19
24,Chris Driedger,SEA,G,29,1994-05-18,Winnipeg,MB,CAN,CAN,76,208,2012,OTT,3,15,76
25,Joonas Korpisalo,OTT,G,29,1994-04-28,Pori,,FIN,FIN,75,193,2012,CBJ,3,1,62
26,Anthony Stolarz,FLA,G,30,1994-01-20,Edison,NJ,USA,USA,78,243,2012,PHI,2,15,45
27,Connor Hellebuyck,WPG,G,30,1993-05-19,Commerce,MI,USA,USA,76,216,2012,WPG,5,9,130
28,Linus Ullmark,BOS,G,30,1993-07-31,Lugnvik,,SWE,SWE,77,212,2012,BUF,6,12,163
29,Matt Tomkins,T.B,G,29,1994-06-19,Edmonton,AB,CAN,CAN,75,194,2012,CHI,7,18,199
30,Antti Raanta,CAR,G,34,1989-05-12,Rauma,,FIN,FIN,72,195,-,-,-,-,-
31,Cal Petersen,PHI,G,29,1994-10-19,Waterloo,IA,USA,USA,74,185,2013,BUF,5,8,129
32,Juuse Saros,NSH,G,28,1995-04-19,Forssa,,FIN,FIN,71,180,2013,NSH,4,8,99
33,Tristan Jarry,PIT,G,28,1995-04-29,Surrey,BC,CAN,CAN,74,194,2013,PIT,2,14,44
34,Eric Comrie,BUF,G,28,1995-07-06,Edmonton,AB,CAN,CAN,73,183,2013,WPG,2,29,59
35,Spencer Martin,"CAR, CBJ",G,28,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,COL,3,2,63
36,Pheonix Copley,L.A,G,32,1992-01-18,North Pole,AK,USA,USA,76,200,-,-,-,-,-
37,Thatcher Demko,VAN,G,28,1995-12-08,San Diego,CA,USA,USA,76,192,2014,VAN,2,6,36
38,Alex Nedeljkovic,PIT,G,28,1996-01-07,Parma,OH,USA,USA,72,208,2014,CAR,2,7,37
39,Vitek Vanecek,N.J,G,28,1996-01-09,Havlickuv Brod,,CZE,CZE,74,184,2014,WSH,2,9,39
40,Jonas Johansson,T.B,G,28,1995-09-19,Gävle,,SWE,SWE,77,220,2014,BUF,3,1,61
41,Elvis Merzlikins,CBJ,G,29,1994-04-13,Riga,,LVA,LVA,75,183,2014,CBJ,3,16,76
42,Ilya Sorokin,NYI,G,28,1995-08-04,Mezhdurechensk,,RUS,RUS,75,195,2014,NYI,3,18,78
43,Ville Husso,DET,G,29,1995-02-06,Helsinki,,FIN,FIN,75,200,2014,STL,4,4,94
44,Kaapo Kahkonen,S.J,G,27,1996-08-16,Helsinki,,FIN,FIN,74,217,2014,MIN,4,19,109
45,Igor Shesterkin,NYR,G,28,1995-12-30,Moscow,,RUS,RUS,73,189,2014,NYR,4,28,118
46,Mackenzie Blackwood,S.J,G,27,1996-12-09,Thunder Bay,ON,CAN,CAN,76,225,2015,N.J,2,12,42
47,Dan Vladar,CGY,G,26,1997-08-20,Prague,,CZE,CZE,77,209,2015,BOS,3,14,75
48,Sam Montembeault,MTL,G,27,1996-10-30,Bécancour,QC,CAN,CAN,75,214,2015,FLA,3,16,77
49,Ilya Samsonov,TOR,G,27,1997-02-22,Magnitogorsk,,RUS,RUS,75,214,2015,WSH,1,22,22
50,Adin Hill,VGK,G,27,1996-05-11,Comox,BC,CAN,CAN,76,215,2015,ARI,3,15,76
51,Karel Vejmelka,ARI,G,27,1996-05-25,Trebic,,CZE,CZE,76,224,2015,NSH,5,24,145
52,Joey Daccord,SEA,G,27,1996-08-19,Boston,MA,USA,USA,74,201,2015,OTT,7,18,199
53,Kenneth Appleby,NYI,G,28,1995-04-10,North Bay,ON,CAN,CAN,77,210,-,-,-,-,-
54,Connor Ingram,ARI,G,26,1997-03-31,Saskatoon,SK,CAN,CAN,74,196,2016,T.B,3,27,88
55,Casey DeSmith,VAN,G,32,1991-08-13,Rochester,NH,USA,USA,72,181,-,-,-,-,-
56,Charlie Lindgren,WSH,G,30,1993-12-18,Lakeville,MN,USA,USA,74,179,-,-,-,-,-
57,Alex Lyon,DET,G,31,1992-12-09,Baudette,MN,USA,USA,73,201,-,-,-,-,-
58,Joseph Woll,TOR,G,25,1998-07-12,Dardenne Prairie,MO,USA,USA,75,203,2016,TOR,3,1,62
59,Carter Hart,PHI,G,25,1998-08-13,Sherwood Park,AB,CAN,CAN,74,181,2016,PHI,2,18,48
60,Filip Gustavsson,MIN,G,25,1998-06-07,Skellefteå,,SWE,SWE,74,184,2016,PIT,2,25,55
61,David Rittich,L.A,G,31,1992-08-19,Jihlava,,CZE,CZE,76,205,-,-,-,-,-
62,Stuart Skinner,EDM,G,25,1998-11-01,Edmonton,AB,CAN,CAN,76,206,2017,EDM,3,16,78
63,Jake Oettinger,DAL,G,25,1998-12-18,Lakeville,MN,USA,USA,77,220,2017,DAL,1,26,26
64,Ukko-Pekka Luukkonen,BUF,G,24,1999-03-09,Espoo,,FIN,FIN,77,217,2017,BUF,2,23,54
65,Cayden Primeau,MTL,G,24,1999-08-11,Farmington Hills,MI,USA,USA,74,199,2017,MTL,7,13,199
66,Matt Villalta,ARI,G,24,1999-06-03,Kingston,ON,CAN,CAN,75,165,2017,L.A,3,10,72
67,Daniil Tarasov,CBJ,G,24,1999-03-27,Novokuznetsk,,RUS,RUS,77,196,2017,CBJ,3,24,86
68,Jiri Patera,VGK,G,24,1999-02-24,,,CZE,CZE,74,209,2017,VGK,6,6,161
69,Jeremy Swayman,BOS,G,25,1998-11-24,Anchorage,AK,USA,USA,74,194,2017,BOS,4,18,111
70,Logan Thompson,VGK,G,26,1997-02-25,Calgary,AB,CAN,CAN,76,205,-,-,-,-,-
71,Alexandar Georgiev,COL,G,28,1996-02-10,Moscow,,RUS,RUS,73,178,-,-,-,-,-
72,Lukas Dostal,ANA,G,23,2000-06-22,Brno,,CZE,CZE,74,174,2018,ANA,3,23,85
73,Kevin Lankinen,NSH,G,28,1995-04-28,Helsinki,,FIN,FIN,74,190,-,-,-,-,-
74,Joel Hofer,STL,G,23,2000-07-30,Winnipeg,MB,CAN,CAN,77,179,2018,STL,4,14,107
75,Magnus Chrona,S.J,G,23,2000-08-28,,,SWE,,76,194,2018,T.B,5,28,152
76,Justus Annunen,COL,G,23,2000-03-11,Kempele,,FIN,FIN,76,210,-,-,-,-,-
77,Ivan Prosvetov,COL,G,24,1999-03-05,Moscow,,RUS,RUS,77,195,2018,ARI,4,21,114
78,Akira Schmid,N.J,G,23,2000-05-12,Bern,,CHE,CHE,77,205,2018,N.J,5,12,136
79,Samuel Ersson,PHI,G,24,1999-10-20,Falun,,SWE,SWE,74,176,2018,PHI,5,19,143
80,Mads Sogaard,OTT,G,23,2000-12-13,Aalborg,,DNK,DNK,79,196,-,-,-,-,-
81,Pyotr Kochetkov,CAR,G,24,1999-06-25,Penza,,RUS,RUS,75,205,2019,CAR,2,5,36
82,Dustin Wolf,CGY,G,22,2001-04-16,Gilroy,CA,USA,USA,72,156,2019,CGY,7,28,214
83,Nico Daws,N.J,G,23,2000-12-22,Munich,,DEU,DEU,76,205,2020,N.J,3,22,84
84,Yaroslav Askarov,NSH,G,21,2002-06-16,Omsk,,RUS,RUS,75,178,2020,NSH,1,11,11
85,Devon Levi,BUF,G,22,2001-12-27,Dollard-des-Ormeaux,QC,CAN,CAN,72,184,2020,FLA,7,26,212
86,Hunter Shepard,WSH,G,28,1995-11-07,Cohasset,MN,USA,USA,72,215,-,-,-,-,-
87,Jesper Wallstedt,MIN,G,21,2002-11-14,Vasteras,,SWE,SWE,75,214,2021,MIN,1,20,20
88,Arvid Soderblom,CHI,G,24,1999-08-19,Göteborg,,SWE,SWE,75,180,-,-,-,-,-
89,Jet Greaves,CBJ,G,22,2001-03-30,Cambridge,ON,CAN,CAN,72,184,-,-,-,-,-
90,Matt Murray,DAL,G,26,1998-02-02,St. Albert,AB,CAN,CAN,73,200,-,-,-,-,-
91,Yaniv Perets,CAR,G,23,2000-03-04,,,CAN,,73,181,-,-,-,-,-
